t,temp,press,vib
1,60.39739,4.79052,1.47232
2,59.39385,4.92988,1.30058
3,59.36693,4.96505,2.51864
4,47.37398,5.42704,2.36015
5,59.67381,5.39651,2.38368
6,60.08773,5.72104,2.30419
7,60.81321,5.57069,1.59777
8,59.16650,5.00538,2.35278
9,59.93578,4.75109,1.48839
10,58.69669,7.50076,2.13567
11,58.25236,5.23125,2.10436
12,60.73053,4.82396,1.84135
13,62.46161,4.89283,2.23670
14,60.45430,5.20971,1.79761
15,71.55009,6.16992,1.84439
16,59.87465,5.41636,5.70687
17,60.27529,5.61639,2.40075
18,59.26710,5.40050,2.83888
19,59.26650,4.44039,2.11628
20,60.61667,4.97633,1.97725
21,61.95247,5.09381,2.02791
22,60.17599,4.91574,1.61949
23,60.61382,5.37528,1.89317
24,59.53638,5.84554,2.43962
25,59.87434,5.20062,2.65794
26,61.09985,5.58642,1.95943
27,60.32954,4.52962,1.92395
28,59.79710,5.60234,2.18505
29,60.44107,8.01101,2.19625
30,58.54527,5.15981,2.02824
31,59.42385,4.70515,2.62515
32,59.13388,4.76695,1.82603
33,60.28814,7.07971,2.29610
34,60.41285,5.55872,2.18276
35,59.88572,5.27303,2.97557
36,59.45383,5.72809,1.80211
37,61.11065,5.51482,2.70104
38,45.96399,5.22606,3.12472
39,61.56128,3.38486,2.07690
40,52.21751,5.18075,2.46230
41,61.29428,5.31486,2.01595
42,60.15249,7.47910,2.18254
43,60.22729,4.68949,2.01078
44,60.01572,5.61192,3.03678
45,61.12043,7.77132,1.65013
46,59.05071,5.38488,2.15765
47,60.78959,5.00538,2.17266
48,60.59609,5.17458,1.61269
49,61.91028,4.91641,6.96625
50,60.49247,5.22378,2.43311
51,61.02087,5.52878,2.77260
52,60.80536,5.54415,2.46733
53,59.93441,2.64517,1.87789
54,60.64160,5.09943,2.13828
55,60.75170,5.10982,2.26048
56,59.04732,5.34009,2.56290
57,59.45046,5.18817,2.75827
58,58.71315,5.78141,3.06470
59,72.97331,5.09752,2.25825
60,59.98352,5.41714,2.76846
61,59.60945,4.66433,6.37272
62,75.76678,5.01445,2.37724
63,60.48012,4.83877,2.02708
